hour,group1,group2,group3,group4,group5
0,400000,100000,200000,150000,150000
1,400000,100000,200000,150000,150000
2,400000,100000,200000,150000,150000
3,400000,100000,200000,150000,150000
4,400000,100000,200000,150000,150000
5,400000,100000,200000,150000,150000
6,400000,100000,200000,150000,150000
7,400000,100000,200000,150000,150000
8,400000,100000,200000,150000,150000
9,400000,100000,200000,150000,150000
10,400000,100000,200000,150000,150000
11,400000,100000,200000,150000,150000
12,400000,100000,200000,150000,150000
13,400000,100000,200000,150000,150000
14,400000,100000,200000,150000,150000
15,400000,100000,200000,150000,150000
16,400000,100000,200000,150000,150000
17,400000,100000,200000,150000,150000
18,400000,100000,200000,150000,150000
19,400000,100000,200000,150000,150000
20,400000,100000,200000,150000,150000
21,400000,100000,200000,150000,150000
22,400000,100000,200000,150000,150000
23,400000,100000,200000,150000,150000
24,400000,100000,200000,150000,150000
25,400000,100000,200000,150000,150000
26,400000,100000,200000,150000,150000
27,400000,100000,200000,150000,150000
28,400000,100000,200000,150000,150000
29,400000,100000,200000,150000,150000
30,400000,100000,200000,150000,150000
31,400000,100000,200000,150000,150000
32,400000,100000,200000,150000,150000
33,400000,100000,200000,150000,150000
34,400000,100000,200000,150000,150000
35,400000,100000,200000,150000,150000
36,400000,100000,200000,150000,150000
37,400000,100000,200000,150000,150000
38,400000,100000,200000,150000,150000
39,400000,100000,200000,150000,150000
40,400000,100000,200000,150000,150000
41,400000,100000,200000,150000,150000
42,400000,100000,200000,150000,150000
43,400000,100000,200000,150000,150000
44,400000,100000,200000,150000,150000
45,400000,100000,200000,150000,150000
46,400000,100000,200000,150000,150000
47,400000,100000,200000,150000,150000
48,400000,100000,200000,150000,150000
49,400000,100000,200000,150000,150000
50,400000,100000,200000,150000,150000
51,400000,100000,200000,150000,150000
52,400000,100000,200000,150000,150000
53,400000,100000,200000,150000,150000
54,400000,100000,200000,150000,150000
55,400000,100000,200000,150000,150000
56,400000,100000,200000,150000,150000
57,400000,100000,200000,150000,150000
58,400000,100000,200000,150000,150000
59,400000,100000,200000,150000,150000
60,400000,100000,200000,150000,150000
61,400000,100000,200000,150000,150000
62,400000,100000,200000,150000,150000
63,400000,100000,200000,150000,150000
64,400000,100000,200000,150000,150000
65,400000,100000,200000,150000,150000
66,400000,100000,200000,150000,150000
67,400000,100000,200000,150000,150000
68,400000,100000,200000,150000,150000
69,400000,100000,200000,150000,150000
70,400000,100000,200000,150000,150000
71,400000,100000,200000,150000,150000
72,400000,100000,200000,150000,150000
73,400000,100000,200000,150000,150000
74,400000,100000,200000,150000,150000
75,400000,100000,200000,150000,150000
76,400000,100000,200000,150000,150000
77,400000,100000,200000,150000,150000
78,400000,100000,200000,150000,150000
79,400000,100000,200000,150000,150000
80,400000,100000,200000,150000,150000
81,400000,100000,200000,150000,150000
82,400000,100000,200000,150000,150000
83,400000,100000,200000,150000,150000
84,400000,100000,200000,150000,150000
85,400000,100000,200000,150000,150000
86,400000,100000,200000,150000,150000
87,400000,100000,200000,150000,150000
88,400000,100000,200000,150000,150000
89,400000,100000,200000,150000,150000
90,400000,100000,200000,150000,150000
91,400000,100000,200000,150000,150000
92,400000,100000,200000,150000,150000
93,400000,100000,200000,150000,150000
94,400000,100000,200000,150000,150000
95,400000,100000,200000,150000,150000
96,400000,100000,200000,150000,150000
97,400000,100000,200000,150000,150000
98,400000,100000,200000,150000,150000
99,400000,100000,200000,150000,150000
100,400000,100000,200000,150000,150000
101,400000,100000,200000,150000,150000
102,400000,100000,200000,150000,150000
103,400000,100000,200000,150000,150000
104,400000,100000,200000,150000,150000
105,400000,100000,200000,150000,150000
106,400000,100000,200000,150000,150000
107,400000,100000,200000,150000,150000
108,400000,100000,200000,150000,150000
109,400000,100000,200000,150000,150000
110,400000,100000,200000,150000,150000
111,400000,100000,200000,150000,150000
112,400000,100000,200000,150000,150000
113,400000,100000,200000,150000,150000
114,400000,100000,200000,150000,150000
115,400000,100000,200000,150000,150000
116,400000,100000,200000,150000,150000
117,400000,100000,200000,150000,150000
118,400000,100000,200000,150000,150000
119,400000,100000,200000,150000,150000
120,400000,100000,200000,150000,150000
121,400000,100000,200000,150000,150000
122,400000,100000,200000,150000,150000
123,400000,100000,200000,150000,150000
124,400000,100000,200000,150000,150000
125,400000,100000,200000,150000,150000
126,400000,100000,200000,150000,150000
127,400000,100000,200000,150000,150000
128,400000,100000,200000,150000,150000
129,400000,100000,200000,150000,150000
130,400000,100000,200000,150000,150000
131,400000,100000,200000,150000,150000
132,400000,100000,200000,150000,150000
133,400000,100000,200000,150000,150000
134,400000,100000,200000,150000,150000
135,400000,100000,200000,150000,150000
136,400000,100000,200000,150000,150000
137,400000,100000,200000,150000,150000
138,400000,100000,200000,150000,150000
139,400000,100000,200000,150000,150000
140,400000,100000,200000,150000,150000
141,400000,100000,200000,150000,150000
142,400000,100000,200000,150000,150000
143,400000,100000,200000,150000,150000
144,400000,100000,200000,150000,150000
145,400000,100000,200000,150000,150000
146,400000,100000,200000,150000,150000
147,400000,100000,200000,150000,150000
148,400000,100000,200000,150000,150000
149,400000,100000,200000,150000,150000
150,400000,100000,200000,150000,150000
151,400000,100000,200000,150000,150000
152,400000,100000,200000,150000,150000
153,400000,100000,200000,150000,150000
154,400000,100000,200000,150000,150000
155,400000,100000,200000,150000,150000
156,400000,100000,200000,150000,150000
157,400000,100000,200000,150000,150000
158,400000,100000,200000,150000,150000
159,400000,100000,200000,150000,150000
160,400000,100000,200000,150000,150000
161,400000,100000,200000,150000,150000
162,400000,100000,200000,150000,150000
163,400000,100000,200000,150000,150000
164,400000,100000,200000,150000,150000
165,400000,100000,200000,150000,150000
166,400000,100000,200000,150000,150000
167,400000,100000,200000,150000,150000
168,400000,100000,200000,150000,150000
169,400000,100000,200000,150000,150000
170,400000,100000,200000,150000,150000
171,400000,100000,200000,150000,150000
172,400000,100000,200000,150000,150000
173,400000,100000,200000,150000,150000
174,400000,100000,200000,150000,150000
175,400000,100000,200000,150000,150000
176,400000,100000,200000,150000,150000
177,400000,100000,200000,150000,150000
178,400000,100000,200000,150000,150000
179,400000,100000,200000,150000,150000
180,400000,100000,200000,150000,150000
181,400000,100000,200000,150000,150000
182,400000,100000,200000,150000,150000
183,400000,100000,200000,150000,150000
184,400000,100000,200000,150000,150000
185,400000,100000,200000,150000,150000
186,400000,100000,200000,150000,150000
187,400000,100000,200000,150000,150000
188,400000,100000,200000,150000,150000
189,400000,100000,200000,150000,150000
190,400000,100000,200000,150000,150000
191,400000,100000,200000,150000,150000
192,400000,100000,200000,150000,150000
193,400000,100000,200000,150000,150000
194,400000,100000,200000,150000,150000
195,400000,100000,200000,150000,150000
196,400000,100000,200000,150000,150000
197,400000,100000,200000,150000,150000
198,400000,100000,200000,150000,150000
199,400000,100000,200000,150000,150000
200,400000,100000,200000,150000,150000
201,400000,100000,200000,150000,150000
202,400000,100000,200000,150000,150000
203,400000,100000,200000,150000,150000
204,400000,100000,200000,150000,150000
205,400000,100000,200000,150000,150000
206,400000,100000,200000,150000,150000
207,400000,100000,200000,150000,150000
208,400000,100000,200000,150000,150000
209,400000,100000,200000,150000,150000
210,400000,100000,200000,150000,150000
211,400000,100000,200000,150000,150000
212,400000,100000,200000,150000,150000
213,400000,100000,200000,150000,150000
214,400000,100000,200000,150000,150000
215,400000,100000,200000,150000,150000
216,400000,100000,200000,150000,150000
217,400000,100000,200000,150000,150000
218,400000,100000,200000,150000,150000
219,400000,100000,200000,150000,150000
220,400000,100000,200000,150000,150000
221,400000,100000,200000,150000,150000
222,400000,100000,200000,150000,150000
223,400000,100000,200000,150000,150000
224,400000,100000,200000,150000,150000
225,400000,100000,200000,150000,150000
226,400000,100000,200000,150000,150000
227,400000,100000,200000,150000,150000
228,400000,100000,200000,150000,150000
229,400000,100000,200000,150000,150000
230,400000,100000,200000,150000,150000
231,400000,100000,200000,150000,150000
232,400000,100000,200000,150000,150000
233,400000,100000,200000,150000,150000
234,400000,100000,200000,150000,150000
